keyword,intent,context_id,source_opportunity_id,priority_hint
best monthly reporting labor software,BOFU,opportunity::opp_003,opp_003,1.894
monthly reporting labor pricing,BOFU,opportunity::opp_003,opp_003,1.894
monthly reporting labor tool for agency owner account manager,BOFU,opportunity::opp_003,opp_003,1.894
monthly reporting labor vs manual,BOFU,opportunity::opp_003,opp_003,1.894
add plug play customisable checklist,MOFU,opportunity::opp_003,opp_003,1.894
manual exports custom spreadsheet report rewriting template,MOFU,opportunity::opp_003,opp_003,1.894
monthly reporting labor heavy often unclear checklist,MOFU,opportunity::opp_003,opp_003,1.894
monthly reporting labor heavy often unclear template,MOFU,opportunity::opp_003,opp_003,1.894
monthly reporting labor heavy often unclear workflow,MOFU,opportunity::opp_003,opp_003,1.894
monthly reporting labor playbook,MOFU,opportunity::opp_003,opp_003,1.894
monthly reporting labor process,MOFU,opportunity::opp_003,opp_003,1.894
how to manual exports custom spreadsheet report rewriting,TOFU,opportunity::opp_003,opp_003,1.894
how to monthly reporting labor heavy often unclear,TOFU,opportunity::opp_003,opp_003,1.894
monthly reporting labor automation,TOFU,opportunity::opp_003,opp_003,1.894
monthly reporting labor examples,TOFU,opportunity::opp_003,opp_003,1.894
best owner tenant workflows software,BOFU,opportunity::opp_004,opp_004,1.75
default software output plus custom excel template,BOFU,opportunity::opp_004,opp_004,1.75
how to default software output plus custom excel,BOFU,opportunity::opp_004,opp_004,1.75
owner tenant workflows pricing,BOFU,opportunity::opp_004,opp_004,1.75
owner tenant workflows tool for property manager property management,BOFU,opportunity::opp_004,opp_004,1.75
owner tenant workflows vs manual,BOFU,opportunity::opp_004,opp_004,1.75
how to owner tenant workflows fragmented driving monthly,MOFU,opportunity::opp_004,opp_004,1.75
impossible food sues cancel checklist,MOFU,opportunity::opp_004,opp_004,1.75
owner tenant workflows automation,MOFU,opportunity::opp_004,opp_004,1.75
owner tenant workflows examples,MOFU,opportunity::opp_004,opp_004,1.75
owner tenant workflows fragmented driving monthly checklist,MOFU,opportunity::opp_004,opp_004,1.75
owner tenant workflows fragmented driving monthly template,MOFU,opportunity::opp_004,opp_004,1.75
owner tenant workflows fragmented driving monthly workflow,MOFU,opportunity::opp_004,opp_004,1.75
owner tenant workflows playbook,MOFU,opportunity::opp_004,opp_004,1.75
owner tenant workflows process,MOFU,opportunity::opp_004,opp_004,1.75
best expense reimbursement remains software,BOFU,opportunity::opp_005,opp_005,1.864
expense reimbursement remains pricing,BOFU,opportunity::opp_005,opp_005,1.864
expense reimbursement remains tool for smb owner finance admin,BOFU,opportunity::opp_005,opp_005,1.864
expense reimbursement remains vs manual,BOFU,opportunity::opp_005,opp_005,1.864
expense reimbursement remains chaotic fraud prone checklist,MOFU,opportunity::opp_005,opp_005,1.864
expense reimbursement remains chaotic fraud prone template,MOFU,opportunity::opp_005,opp_005,1.864
expense reimbursement remains chaotic fraud prone workflow,MOFU,opportunity::opp_005,opp_005,1.864
expense reimbursement remains playbook,MOFU,opportunity::opp_005,opp_005,1.864
expense reimbursement remains process,MOFU,opportunity::opp_005,opp_005,1.864
invoice generator pdf invoices checklist,MOFU,opportunity::opp_005,opp_005,1.864
shared sheet end month manual reconciliation template,MOFU,opportunity::opp_005,opp_005,1.864
expense reimbursement remains automation,TOFU,opportunity::opp_005,opp_005,1.864
expense reimbursement remains examples,TOFU,opportunity::opp_005,opp_005,1.864
how to expense reimbursement remains chaotic fraud prone,TOFU,opportunity::opp_005,opp_005,1.864
how to shared sheet end month manual reconciliation,TOFU,opportunity::opp_005,opp_005,1.864
best core workflows depend software,BOFU,opportunity::opp_006,opp_006,1.864
core workflows depend pricing,BOFU,opportunity::opp_006,opp_006,1.864
core workflows depend tool for operations admin smb operations,BOFU,opportunity::opp_006,opp_006,1.864
core workflows depend vs manual,BOFU,opportunity::opp_006,opp_006,1.864
core workflows depend automation,MOFU,opportunity::opp_006,opp_006,1.864
core workflows depend examples,MOFU,opportunity::opp_006,opp_006,1.864
core workflows depend fragile spreadsheets repetitive checklist,MOFU,opportunity::opp_006,opp_006,1.864
core workflows depend fragile spreadsheets repetitive template,MOFU,opportunity::opp_006,opp_006,1.864
core workflows depend fragile spreadsheets repetitive workflow,MOFU,opportunity::opp_006,opp_006,1.864
core workflows depend playbook,MOFU,opportunity::opp_006,opp_006,1.864
core workflows depend process,MOFU,opportunity::opp_006,opp_006,1.864
how to core workflows depend fragile spreadsheets repetitive,MOFU,opportunity::opp_006,opp_006,1.864
manual copy paste pdfs spreadsheets brittle template,MOFU,opportunity::opp_006,opp_006,1.864
sync sales channel quickbooks checklist,MOFU,opportunity::opp_006,opp_006,1.864
how to manual copy paste pdfs spreadsheets brittle,TOFU,opportunity::opp_006,opp_006,1.864
best chargeback disputes handled software,BOFU,project_spec::proj-opp-001-chargeback-response-v1,opp_001,1.894
chargeback disputes handled pricing,BOFU,project_spec::proj-opp-001-chargeback-response-v1,opp_001,1.894
chargeback disputes handled tool for ecommerce operator ecommerce,BOFU,project_spec::proj-opp-001-chargeback-response-v1,opp_001,1.894
chargeback disputes handled vs manual,BOFU,project_spec::proj-opp-001-chargeback-response-v1,opp_001,1.894
chargeback disputes handled hoc causing avoidable checklist,MOFU,project_spec::proj-opp-001-chargeback-response-v1,opp_001,1.894
chargeback disputes handled hoc causing avoidable template,MOFU,project_spec::proj-opp-001-chargeback-response-v1,opp_001,1.894
chargeback disputes handled hoc causing avoidable workflow,MOFU,project_spec::proj-opp-001-chargeback-response-v1,opp_001,1.894
chargeback disputes handled playbook,MOFU,project_spec::proj-opp-001-chargeback-response-v1,opp_001,1.894
chargeback disputes handled process,MOFU,project_spec::proj-opp-001-chargeback-response-v1,opp_001,1.894
how to respond chargebacks faster evidence first workflow,MOFU,project_spec::proj-opp-001-chargeback-response-v1,opp_001,1.894
respond chargebacks faster evidence first workflow template,MOFU,project_spec::proj-opp-001-chargeback-response-v1,opp_001,1.894
standardize dispute packets each checklist,MOFU,project_spec::proj-opp-001-chargeback-response-v1,opp_001,1.894
chargeback disputes handled automation,TOFU,project_spec::proj-opp-001-chargeback-response-v1,opp_001,1.894
chargeback disputes handled examples,TOFU,project_spec::proj-opp-001-chargeback-response-v1,opp_001,1.894
how to chargeback disputes handled hoc causing avoidable,TOFU,project_spec::proj-opp-001-chargeback-response-v1,opp_001,1.894
agencies rebuild client pricing,BOFU,project_spec::proj-opp-001-client-reporting-v1,opp_001,1.894
agencies rebuild client tool for agency operator marketing services,BOFU,project_spec::proj-opp-001-client-reporting-v1,opp_001,1.894
agencies rebuild client vs manual,BOFU,project_spec::proj-opp-001-client-reporting-v1,opp_001,1.894
best agencies rebuild client software,BOFU,project_spec::proj-opp-001-client-reporting-v1,opp_001,1.894
agencies rebuild client playbook,MOFU,project_spec::proj-opp-001-client-reporting-v1,opp_001,1.894
agencies rebuild client process,MOFU,project_spec::proj-opp-001-client-reporting-v1,opp_001,1.894
agencies rebuild client reports manually each checklist,MOFU,project_spec::proj-opp-001-client-reporting-v1,opp_001,1.894
agencies rebuild client reports manually each template,MOFU,project_spec::proj-opp-001-client-reporting-v1,opp_001,1.894
agencies rebuild client reports manually each workflow,MOFU,project_spec::proj-opp-001-client-reporting-v1,opp_001,1.894
ship client ready monthly reporting one template,MOFU,project_spec::proj-opp-001-client-reporting-v1,opp_001,1.894
single reporting template reused checklist,MOFU,project_spec::proj-opp-001-client-reporting-v1,opp_001,1.894
agencies rebuild client automation,TOFU,project_spec::proj-opp-001-client-reporting-v1,opp_001,1.894
agencies rebuild client examples,TOFU,project_spec::proj-opp-001-client-reporting-v1,opp_001,1.894
how to agencies rebuild client reports manually each,TOFU,project_spec::proj-opp-001-client-reporting-v1,opp_001,1.894
how to ship client ready monthly reporting one,TOFU,project_spec::proj-opp-001-client-reporting-v1,opp_001,1.894
best overdue invoices followed software,BOFU,project_spec::proj-opp-001-invoice-followup-v1,opp_001,1.894
overdue invoices followed pricing,BOFU,project_spec::proj-opp-001-invoice-followup-v1,opp_001,1.894
overdue invoices followed tool for freelancer small service owner,BOFU,project_spec::proj-opp-001-invoice-followup-v1,opp_001,1.894
overdue invoices followed vs manual,BOFU,project_spec::proj-opp-001-invoice-followup-v1,opp_001,1.894
overdue invoices followed manually late because checklist,MOFU,project_spec::proj-opp-001-invoice-followup-v1,opp_001,1.894
overdue invoices followed manually late because template,MOFU,project_spec::proj-opp-001-invoice-followup-v1,opp_001,1.894
overdue invoices followed manually late because workflow,MOFU,project_spec::proj-opp-001-invoice-followup-v1,opp_001,1.894
overdue invoices followed playbook,MOFU,project_spec::proj-opp-001-invoice-followup-v1,opp_001,1.894
overdue invoices followed process,MOFU,project_spec::proj-opp-001-invoice-followup-v1,opp_001,1.894
prioritize overdue invoices value checklist,MOFU,project_spec::proj-opp-001-invoice-followup-v1,opp_001,1.894
turn overdue invoices daily follow action template,MOFU,project_spec::proj-opp-001-invoice-followup-v1,opp_001,1.894
how to overdue invoices followed manually late because,TOFU,project_spec::proj-opp-001-invoice-followup-v1,opp_001,1.894
how to turn overdue invoices daily follow action,TOFU,project_spec::proj-opp-001-invoice-followup-v1,opp_001,1.894
overdue invoices followed automation,TOFU,project_spec::proj-opp-001-invoice-followup-v1,opp_001,1.894
overdue invoices followed examples,TOFU,project_spec::proj-opp-001-invoice-followup-v1,opp_001,1.894
